  0.3000000000000000E+03,  0.0000000000000000E+00,  0.2889091827855284E+02,
  0.3000000000000000E+03,  0.1562500000000000E-03,  0.2881236788859394E+02,
  0.3000000000000000E+03,  0.3125000000000001E-03,  0.2873642159810504E+02,
  0.3000000000000000E+03,  0.4687500000000000E-03,  0.2866306875002846E+02,
  0.3000000000000000E+03,  0.6250000000000001E-03,  0.2859229903175248E+02,
  0.3000000000000000E+03,  0.7812500000000000E-03,  0.2852410247560653E+02,
  0.3000000000000000E+03,  0.9375000000000000E-03,  0.2845846945933993E+02,
  0.3000000000000000E+03,  0.1093750000000000E-02,  0.2839539070658395E+02,
  0.3000000000000000E+03,  0.1250000000000000E-02,  0.2833485728729742E+02,
  0.3000000000000000E+03,  0.1406250000000000E-02,  0.2827686061819544E+02,
  0.3000000000000000E+03,  0.1562500000000000E-02,  0.2822139246316170E+02,
  0.3000000000000000E+03,  0.1718750000000000E-02,  0.2816844493364405E+02,
  0.3000000000000000E+03,  0.1875000000000000E-02,  0.2811801048903326E+02,
  0.3000000000000000E+03,  0.2031250000000001E-02,  0.2807008193702520E+02,
  0.3000000000000000E+03,  0.2187500000000000E-02,  0.2802465243396625E+02,
  0.3000000000000000E+03,  0.2343750000000000E-02,  0.2798171548518200E+02,
  0.3000000000000000E+03,  0.2500000000000000E-02,  0.2794126494528909E+02,
  0.3000000000000000E+03,  0.2656250000000000E-02,  0.2790329501849039E+02,
  0.3000000000000000E+03,  0.2812500000000000E-02,  0.2786780025885339E+02,
  0.3000000000000000E+03,  0.2968750000000001E-02,  0.2783477557057159E+02,
  0.3000000000000000E+03,  0.3125000000000000E-02,  0.2780421620820943E+02,
  0.3000000000000000E+03,  0.3281250000000001E-02,  0.2777611777693002E+02,
  0.3000000000000000E+03,  0.3437500000000000E-02,  0.2775047623270627E+02,
  0.3000000000000000E+03,  0.3593750000000000E-02,  0.2772728788251514E+02,
  0.3000000000000000E+03,  0.3750000000000000E-02,  0.2770654938451494E+02,
