  0.6420000000000000E+03,  0.1250000000000000E+00,  0.1703122711181641E+02,  0.1064451702404767E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6430000000000000E+03,  0.3750000000000001E+00,  0.1702926540374756E+02,  0.1064329058863223E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6440000000000000E+03,  0.6250000000000001E+00,  0.1702719116210938E+02,  0.1064199430402368E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6450000000000000E+03,  0.8750000000000001E+00,  0.1702516746520996E+02,  0.1064073003362864E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6460000000000000E+03,  0.1125000000000000E+01,  0.1702326679229736E+02,  0.1063954201526940E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6470000000000000E+03,  0.1375000000000000E+01,  0.1702154636383057E+02,  0.1063846691977233E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6480000000000000E+03,  0.1625000000000000E+01,  0.1702003002166748E+02,  0.1063751871697605E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6490000000000000E+03,  0.1875000000000000E+01,  0.1701871871948242E+02,  0.1063669915311038E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6500000000000000E+03,  0.2125000000000000E+01,  0.1701759433746338E+02,  0.1063599600456655E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6510000000000000E+03,  0.2375000000000000E+01,  0.1701662349700928E+02,  0.1063539006281644E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6520000000000000E+03,  0.2625000000000000E+01,  0.1701576900482178E+02,  0.1063485571648926E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6530000000000000E+03,  0.2875000000000000E+01,  0.1701498699188232E+02,  0.1063436677213758E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6540000000000000E+03,  0.3125000000000000E+01,  0.1701423549652100E+02,  0.1063389761839062E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6550000000000000E+03,  0.3375000000000000E+01,  0.1701347923278809E+02,  0.1063342439010739E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6560000000000000E+03,  0.3625000000000000E+01,  0.1701268291473389E+02,  0.1063292729668319E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6570000000000000E+03,  0.3875000000000000E+01,  0.1701182079315186E+02,  0.1063238829374313E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6580000000000000E+03,  0.4124999999999999E+01,  0.1701086902618408E+02,  0.1063179341144860E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6590000000000000E+03,  0.4375000000000000E+01,  0.1700981235504150E+02,  0.1063113275449723E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6600000000000000E+03,  0.4624999999999999E+01,  0.1700863933563232E+02,  0.1063039992004633E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6610000000000000E+03,  0.4875000000000000E+01,  0.1700734901428223E+02,  0.1062959316186607E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.6620000000000000E+03,  0.5124999999999999E+01,  0.1700594234466553E+02,  0.1062871364410967E-02,  0.2000000000000000E+01,  0.0000000000000000E+00,
