  0.3000000000000000E+03,  0.0000000000000000E+00,  0.2888167366493713E+02,
  0.3000000000000000E+03,  0.1250000000000000E-02,  0.2832633617785567E+02,
  0.3000000000000000E+03,  0.2500000000000000E-02,  0.2793326400936835E+02,
  0.3000000000000000E+03,  0.3750000000000000E-02,  0.2769886190982110E+02,
  0.3000000000000000E+03,  0.5000000000000000E-02,  0.2762096829863977E+02,
  0.3000000000000000E+03,  0.6249999999999999E-02,  0.2769886190982101E+02,
  0.3000000000000000E+03,  0.7500000000000000E-02,  0.2793326400936819E+02,
  0.3000000000000000E+03,  0.8750000000000001E-02,  0.2832633617785546E+02,
  0.3000000000000000E+03,  0.1000000000000000E-01,  0.2888167366493692E+02,
  0.9000000000000000E+03,  0.0000000000000000E+00,  0.5167648862633940E+02,
  0.9000000000000000E+03,  0.1250000000000000E-02,  0.5136598316008661E+02,
  0.9000000000000000E+03,  0.2500000000000000E-02,  0.5114350915324356E+02,
  0.9000000000000000E+03,  0.3750000000000000E-02,  0.5100975057242289E+02,
  0.9000000000000000E+03,  0.5000000000000000E-02,  0.5096511864051194E+02,
  0.9000000000000000E+03,  0.6249999999999999E-02,  0.5100975057242276E+02,
  0.9000000000000000E+03,  0.7500000000000000E-02,  0.5114350915324326E+02,
  0.9000000000000000E+03,  0.8750000000000001E-02,  0.5136598316008615E+02,
  0.9000000000000000E+03,  0.1000000000000000E-01,  0.5167648862633910E+02,
  0.1200000000000000E+04,  0.0000000000000000E+00,  0.5003274695181008E+02,
  0.1200000000000000E+04,  0.1250000000000000E-02,  0.5035692709505957E+02,
  0.1200000000000000E+04,  0.2500000000000000E-02,  0.5058437737898191E+02,
  0.1200000000000000E+04,  0.3750000000000000E-02,  0.5071920223557306E+02,
  0.1200000000000000E+04,  0.5000000000000000E-02,  0.5076386938232800E+02,
  0.1200000000000000E+04,  0.6249999999999999E-02,  0.5071920223557293E+02,
  0.1200000000000000E+04,  0.7500000000000000E-02,  0.5058437737898164E+02,
  0.1200000000000000E+04,  0.8750000000000001E-02,  0.5035692709505917E+02,
  0.1200000000000000E+04,  0.1000000000000000E-01,  0.5003274695180977E+02,
  0.1800000000000000E+04,  0.0000000000000000E+00,  0.3663760429125086E+02,
  0.1800000000000000E+04,  0.1250000000000000E-02,  0.3681999929904603E+02,
  0.1800000000000000E+04,  0.2500000000000000E-02,  0.3695068346606580E+02,
  0.1800000000000000E+04,  0.3750000000000000E-02,  0.3702925502129745E+02,
  0.1800000000000000E+04,  0.5000000000000000E-02,  0.3705547240699119E+02,
  0.1800000000000000E+04,  0.6249999999999999E-02,  0.3702925502129735E+02,
  0.1800000000000000E+04,  0.7500000000000000E-02,  0.3695068346606557E+02,
  0.1800000000000000E+04,  0.8750000000000001E-02,  0.3681999929904569E+02,
  0.1800000000000000E+04,  0.1000000000000000E-01,  0.3663760429125061E+02,
