  0.1937000000000000E+04,  0.0000000000000000E+00,  0.4000000000000000E+01,  0.0000000000000000E+00,  0.0000000000000000E+00,
  0.1938000000000000E+04,  0.5000000000000000E+00,  0.4000000000000000E+01,  0.4305686808705780E-04, -0.1989725920536537E-04,
  0.1939000000000000E+04,  0.1000000000000000E+01,  0.4000000000000000E+01,  0.8597801932139736E-04, -0.4464854328009722E-04,
  0.1940000000000000E+04,  0.1500000000000000E+01,  0.4000000000000000E+01,  0.1305809178594352E-03, -0.8793947697514689E-04,
  0.1941000000000000E+04,  0.2000000000000000E+01,  0.4000000000000000E+01,  0.1752815853596432E-03, -0.1498228704288056E-03,
  0.1942000000000000E+04,  0.2500000000000000E+01,  0.4000000000000000E+01,  0.2194772182090936E-03, -0.2301237053418522E-03,
  0.1943000000000000E+04,  0.3000000000000000E+01,  0.4000000000000000E+01,  0.2630205350571439E-03, -0.3283177125588214E-03,
  0.1944000000000000E+04,  0.3500000000000000E+01,  0.4000000000000000E+01,  0.3059304905317358E-03, -0.4440013632450466E-03,
  0.1945000000000000E+04,  0.4000000000000000E+01,  0.4000000000000000E+01,  0.3482814773879086E-03, -0.5768675673954320E-03,
  0.1946000000000000E+04,  0.4500000000000000E+01,  0.4000000000000000E+01,  0.3901437381799442E-03, -0.7266897945964087E-03,
  0.1947000000000000E+04,  0.5000000000000000E+01,  0.4000000000000000E+01,  0.4315681491998252E-03, -0.8932863948743536E-03,
  0.1948000000000000E+04,  0.5500000000000000E+01,  0.4000000000000000E+01,  0.4725864743101081E-03, -0.1076498110075732E-02,
  0.1949000000000000E+04,  0.6000000000000000E+01,  0.4000000000000000E+01,  0.5132166184215295E-03, -0.1276174836820818E-02,
  0.1950000000000000E+04,  0.6500000000000000E+01,  0.4000000000000000E+01,  0.5534677308078361E-03, -0.1492169239034582E-02,
  0.1951000000000000E+04,  0.7000000000000000E+01,  0.4000000000000000E+01,  0.5933439514976482E-03, -0.1724334021911297E-02,
  0.1952000000000000E+04,  0.7500000000000000E+01,  0.4000000000000000E+01,  0.6328467988542643E-03, -0.1972521035245648E-02,
  0.1953000000000000E+04,  0.8000000000000000E+01,  0.4000000000000000E+01,  0.6719765594800014E-03, -0.2236581166710244E-02,
  0.1954000000000000E+04,  0.8500000000000000E+01,  0.4000000000000000E+01,  0.7107330325102848E-03, -0.2516364518900501E-02,
  0.1955000000000000E+04,  0.9000000000000000E+01,  0.4000000000000000E+01,  0.7491158915408487E-03, -0.2811720641435907E-02,
  0.1956000000000000E+04,  0.9500000000000000E+01,  0.4000000000000000E+01,  0.7871248368974521E-03, -0.3122498730884232E-02,
  0.1957000000000000E+04,  0.1000000000000000E+02,  0.4000000000000000E+01,  0.8247596426997367E-03, -0.3448547776197274E-02,
  0.1958000000000000E+04,  0.1050000000000000E+02,  0.4000000000000000E+01,  0.8620201573368347E-03, -0.3789716653912130E-02,
  0.1959000000000000E+04,  0.1100000000000000E+02,  0.4000000000000000E+01,  0.8989062876577350E-03, -0.4145854185427988E-02,
  0.1960000000000000E+04,  0.1150000000000000E+02,  0.4000000000000000E+01,  0.9354179808958921E-03, -0.4516809168785690E-02,
  0.1961000000000000E+04,  0.1200000000000000E+02,  0.4000000000000000E+01,  0.9715552096914516E-03, -0.4902430394746813E-02,
  0.1962000000000000E+04,  0.1250000000000000E+02,  0.4000000000000000E+01,  0.1007317961412678E-02, -0.5302566653953176E-02,
  0.1963000000000000E+04,  0.1300000000000000E+02,  0.4000000000000000E+01,  0.1042706231270852E-02, -0.5717066739443423E-02,
  0.1964000000000000E+04,  0.1350000000000000E+02,  0.4000000000000000E+01,  0.1077720018236760E-02, -0.6145779447012925E-02,
  0.1965000000000000E+04,  0.1400000000000000E+02,  0.4000000000000000E+01,  0.1112359322810830E-02, -0.6588553574746009E-02,
  0.1966000000000000E+04,  0.1450000000000000E+02,  0.4000000000000000E+01,  0.1146624145918117E-02, -0.7045237922360911E-02,
  0.1967000000000000E+04,  0.1500000000000000E+02,  0.4000000000000000E+01,  0.1180514488432447E-02, -0.7515681290630452E-02,
  0.1968000000000000E+04,  0.1550000000000000E+02,  0.4000000000000000E+01,  0.1214030351021887E-02, -0.7999732480953736E-02,
  0.1969000000000000E+04,  0.1600000000000000E+02,  0.4000000000000000E+01,  0.1247171734139221E-02, -0.8497240295072447E-02,
  0.1970000000000000E+04,  0.1650000000000000E+02,  0.4000000000000000E+01,  0.1279938638064944E-02, -0.9008053534898520E-02,
  0.1971000000000000E+04,  0.1700000000000000E+02,  0.4000000000000000E+01,  0.1312331062959290E-02, -0.9532021002417533E-02,
  0.1972000000000000E+04,  0.1750000000000000E+02,  0.4000000000000000E+01,  0.1344349008906178E-02, -0.1006899149963931E-01,
  0.1973000000000000E+04,  0.1800000000000000E+02,  0.4000000000000000E+01,  0.1375992475944932E-02, -0.1061881382857547E-01,
  0.1974000000000000E+04,  0.1850000000000000E+02,  0.4000000000000000E+01,  0.1407261464090902E-02, -0.1118133679123130E-01,
  0.1975000000000000E+04,  0.1900000000000000E+02,  0.4000000000000000E+01,  0.1438155973347787E-02, -0.1175640918960419E-01,
  0.1976000000000000E+04,  0.1950000000000000E+02,  0.4000000000000000E+01,  0.1468676003714437E-02, -0.1234387982568488E-01,
  0.1977000000000000E+04,  0.2000000000000000E+02,  0.4000000000000000E+01,  0.1498821555188263E-02, -0.1294359750145923E-01,
  0.1978000000000000E+04,  0.2050000000000000E+02,  0.4000000000000000E+01,  0.1528592627766728E-02, -0.1355541101890999E-01,
  0.1979000000000000E+04,  0.2100000000000000E+02,  0.4000000000000000E+01,  0.1557989221447861E-02, -0.1417916918001798E-01,
  0.1980000000000000E+04,  0.2150000000000000E+02,  0.4000000000000000E+01,  0.1587011336230309E-02, -0.1481472078676298E-01,
  0.1981000000000000E+04,  0.2200000000000000E+02,  0.4000000000000000E+01,  0.1615658972113220E-02, -0.1546191464112423E-01,
  0.1982000000000000E+04,  0.2250000000000000E+02,  0.4000000000000000E+01,  0.1643932129096109E-02, -0.1612059954508074E-01,
  0.1983000000000000E+04,  0.2300000000000000E+02,  0.4000000000000000E+01,  0.1671830807178718E-02, -0.1679062430061146E-01,
  0.1984000000000000E+04,  0.2350000000000000E+02,  0.4000000000000000E+01,  0.1699355006360923E-02, -0.1747183770969531E-01,
  0.1985000000000000E+04,  0.2400000000000000E+02,  0.4000000000000000E+01,  0.1726504726642674E-02, -0.1816408857431122E-01,
  0.1986000000000000E+04,  0.2450000000000000E+02,  0.4000000000000000E+01,  0.1753279968023952E-02, -0.1886722569643815E-01,
  0.1987000000000000E+04,  0.2500000000000000E+02,  0.4000000000000000E+01,  0.1779680730504764E-02, -0.1958109787805507E-01,
  0.1988000000000000E+04,  0.2550000000000000E+02,  0.4000000000000000E+01,  0.1805707014085119E-02, -0.2030555392114098E-01,
  0.1989000000000000E+04,  0.2600000000000000E+02,  0.4000000000000000E+01,  0.1831358818765022E-02, -0.2104044262767489E-01,
  0.1990000000000000E+04,  0.2650000000000000E+02,  0.4000000000000000E+01,  0.1856636144544483E-02, -0.2178561279963582E-01,
  0.1991000000000000E+04,  0.2700000000000000E+02,  0.4000000000000000E+01,  0.1881538991423496E-02, -0.2254091323900276E-01,
  0.1992000000000000E+04,  0.2750000000000000E+02,  0.4000000000000000E+01,  0.1906067359402074E-02, -0.2330619274775472E-01,
  0.1993000000000000E+04,  0.2800000000000000E+02,  0.4000000000000000E+01,  0.1930221248480212E-02, -0.2408130012787073E-01,
  0.1994000000000000E+04,  0.2850000000000000E+02,  0.4000000000000000E+01,  0.1954000658657916E-02, -0.2486608418132981E-01,
  0.1995000000000000E+04,  0.2900000000000000E+02,  0.4000000000000000E+01,  0.1977405589935183E-02, -0.2566039371011096E-01,
  0.1996000000000000E+04,  0.2950000000000000E+02,  0.4000000000000000E+01,  0.2000436042312013E-02, -0.2646407751619321E-01,
  0.1997000000000000E+04,  0.3000000000000000E+02,  0.4000000000000000E+01,  0.2023092015788406E-02, -0.2727698440155556E-01,
  0.1998000000000000E+04,  0.3050000000000000E+02,  0.4000000000000000E+01,  0.2045373510364355E-02, -0.2809896316817703E-01,
  0.1999000000000000E+04,  0.3100000000000000E+02,  0.4000000000000000E+01,  0.2067280526039876E-02, -0.2892986261803662E-01,
  0.2000000000000000E+04,  0.3150000000000000E+02,  0.4000000000000000E+01,  0.2088813062814966E-02, -0.2976953155311338E-01,
  0.2001000000000000E+04,  0.3200000000000000E+02,  0.4000000000000000E+01,  0.2109971120689609E-02, -0.3061781877538629E-01,
  0.2002000000000000E+04,  0.3250000000000000E+02,  0.4000000000000000E+01,  0.2130754699663822E-02, -0.3147457308683436E-01,
  0.2003000000000000E+04,  0.3300000000000000E+02,  0.4000000000000000E+01,  0.2151163799737601E-02, -0.3233964328943668E-01,
  0.2004000000000000E+04,  0.3350000000000000E+02,  0.4000000000000000E+01,  0.2171198420910935E-02, -0.3321287818517216E-01,
  0.2005000000000000E+04,  0.3400000000000000E+02,  0.4000000000000000E+01,  0.2190858563183836E-02, -0.3409412657601989E-01,
  0.2006000000000000E+04,  0.3450000000000000E+02,  0.4000000000000000E+01,  0.2210144226556298E-02, -0.3498323726395883E-01,
