  0.1620000000000000E+03,  0.2500000000000000E+00,  0.1046191978454590E+02,  0.1307739969342947E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1630000000000000E+03,  0.7500000000000001E+00,  0.1046038389205933E+02,  0.1307547977194190E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1640000000000000E+03,  0.1250000000000000E+01,  0.1045831632614136E+02,  0.1307289581745863E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1650000000000000E+03,  0.1750000000000000E+01,  0.1045567941665649E+02,  0.1306959893554449E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1660000000000000E+03,  0.2250000000000000E+01,  0.1045250797271729E+02,  0.1306563429534435E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1670000000000000E+03,  0.2750000000000000E+01,  0.1044879436492920E+02,  0.1306099304929376E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1680000000000000E+03,  0.3250000000000000E+01,  0.1044451189041138E+02,  0.1305563980713487E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1690000000000000E+03,  0.3750000000000000E+01,  0.1043968915939331E+02,  0.1304961089044809E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1700000000000000E+03,  0.4250000000000000E+01,  0.1043449687957764E+02,  0.1304312096908689E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1710000000000000E+03,  0.4750000000000000E+01,  0.1042937564849854E+02,  0.1303671952337027E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1720000000000000E+03,  0.5250000000000000E+01,  0.1042514944076538E+02,  0.1303143659606576E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1730000000000000E+03,  0.5750000000000000E+01,  0.1042335557937622E+02,  0.1302919443696737E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1740000000000000E+03,  0.6250000000000000E+01,  0.1042632865905762E+02,  0.1303291041404009E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1750000000000000E+03,  0.6750000000000000E+01,  0.1043866491317749E+02,  0.1304833078756928E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1760000000000000E+03,  0.7250000000000000E+01,  0.1046611928939819E+02,  0.1308264862746000E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1770000000000000E+03,  0.7750000000000000E+01,  0.1052541112899780E+02,  0.1315676420927048E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1780000000000000E+03,  0.8250000000000000E+01,  0.1063037681579590E+02,  0.1328797126188874E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1790000000000000E+03,  0.8750000000000000E+01,  0.1087948513031006E+02,  0.1359935663640499E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1800000000000000E+03,  0.9250000000000000E+01,  0.1137562847137451E+02,  0.1421953504905105E-01,  0.2000000000000000E+01,  0.0000000000000000E+00,
  0.1810000000000000E+03,  0.9750000000000000E+01,  0.6260361194610596E+01,  0.7825450971722603E-02,  0.1500000000000000E+01,  0.0000000000000000E+00,
