  0.1000000000000000E+01,  0.2000000000000000E+01,  0.1000000000000000E+01,  0.9976850860465215E-04,
  0.2000000000000000E+01,  0.6000000000000000E+01,  0.1000000000000000E+01,  0.1046815017790905E-03,
  0.3000000000000000E+01,  0.1000000000000000E+02,  0.1000000000000000E+01,  0.8935310780241789E-04,
  0.4000000000000000E+01,  0.1400000000000000E+02,  0.1000000000000000E+01,  0.8479201525231975E-04,
  0.5000000000000000E+01,  0.1800000000000000E+02,  0.1000000000000000E+01,  0.7720788911802323E-04,
  0.6000000000000000E+01,  0.2200000000000000E+02,  0.1000000000000000E+01,  0.7046004120899525E-04,
  0.7000000000000000E+01,  0.2600000000000000E+02,  0.1000000000000000E+01,  0.6358421273102006E-04,
  0.8000000000000000E+01,  0.3000000000000000E+02,  0.1000000000000000E+01,  0.5682008275079931E-04,
  0.9000000000000000E+01,  0.3400000000000000E+02,  0.1000000000000000E+01,  0.5014985425752454E-04,
  0.1000000000000000E+02,  0.3800000000000000E+02,  0.1000000000000000E+01,  0.4362941950463733E-04,
  0.1100000000000000E+02,  0.4200000000000000E+02,  0.1000000000000000E+01,  0.3733629001624195E-04,
  0.1200000000000000E+02,  0.4600000000000000E+02,  0.1000000000000000E+01,  0.3142271269377661E-04,
  0.1300000000000000E+02,  0.5000000000000000E+02,  0.1000000000000000E+01,  0.2594774331717813E-04,
  0.1400000000000000E+02,  0.5400000000000000E+02,  0.1000000000000000E+01,  0.2253827647299301E-04,
  0.1500000000000000E+02,  0.5800000000000000E+02,  0.1000000000000000E+01,  0.1881358070179004E-04,
  0.1600000000000000E+02,  0.2000000000000000E+01,  0.3000000000000000E+01,  0.9600168805459331E-04,
  0.1700000000000000E+02,  0.6000000000000000E+01,  0.3000000000000000E+01,  0.1025022644501079E-03,
  0.1800000000000000E+02,  0.1000000000000000E+02,  0.3000000000000000E+01,  0.9109321710773427E-04,
  0.1900000000000000E+02,  0.1400000000000000E+02,  0.3000000000000000E+01,  0.8410352103664812E-04,
  0.2000000000000000E+02,  0.1800000000000000E+02,  0.3000000000000000E+01,  0.7739754354121578E-04,
  0.2100000000000000E+02,  0.2200000000000000E+02,  0.3000000000000000E+01,  0.7040276490183262E-04,
  0.2200000000000000E+02,  0.2600000000000000E+02,  0.3000000000000000E+01,  0.6358853310617188E-04,
  0.2300000000000000E+02,  0.3000000000000000E+02,  0.3000000000000000E+01,  0.5681148014705381E-04,
  0.2400000000000000E+02,  0.3400000000000000E+02,  0.3000000000000000E+01,  0.5014451653809971E-04,
  0.2500000000000000E+02,  0.3800000000000000E+02,  0.3000000000000000E+01,  0.4362583205219893E-04,
  0.2600000000000000E+02,  0.4200000000000000E+02,  0.3000000000000000E+01,  0.3732825472098226E-04,
  0.2700000000000000E+02,  0.4600000000000000E+02,  0.3000000000000000E+01,  0.3142191493099256E-04,
  0.2800000000000000E+02,  0.5000000000000000E+02,  0.3000000000000000E+01,  0.2599734857188159E-04,
  0.2900000000000000E+02,  0.5400000000000000E+02,  0.3000000000000000E+01,  0.2221540361576588E-04,
  0.3000000000000000E+02,  0.5800000000000000E+02,  0.3000000000000000E+01,  0.1954503573367173E-04,
